,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
4059,1.0,1.0,3.0,4.0,1.0,1.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,0.0,3.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
4062,3.0,2.0,4.0,0.0,0.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
4066,1.0,1.0,4.0,2.0,0.0,0.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,0.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
4069,2.0,1.0,2.0,3.0,0.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,4.0,4.0,1.0,3.0,2.0,1.0,3.0,4.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0
4071,2.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,0.0,2.0,4.0,4.0,3.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0
4074,2.0,2.0,2.0,1.0,4.0,3.0,4.0,0.0,3.0,3.0,2.0,0.0,3.0,0.0,3.0,3.0,4.0,3.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0
4077,2.0,1.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0
4078,2.0,0.0,3.0,3.0,0.0,1.0,3.0,3.0,1.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,4.0,0.0
4081,3.0,3.0,4.0,1.0,0.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0
4082,2.0,3.0,4.0,3.0,0.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,0.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0
4088,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0
4089,2.0,2.0,2.0,2.0,0.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,0.0,3.0,3.0,1.0,3.0,3.0,0.0,2.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0
4090,1.0,1.0,3.0,4.0,0.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,0.0,4.0,4.0,3.0,4.0,4.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0
4091,1.0,3.0,3.0,1.0,0.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,1.0,1.0,4.0,3.0,4.0,3.0,2.0,3.0,1.0,4.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0
4092,2.0,1.0,3.0,4.0,0.0,1.0,3.0,2.0,1.0,4.0,3.0,2.0,3.0,1.0,3.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0
4095,3.0,1.0,3.0,4.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,4.0,0.0,2.0,1.0,3.0,1.0
4096,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0
4101,2.0,1.0,3.0,2.0,0.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,3.0,4.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0
