,Ans_1,Ans_2,Ans_3,Ans_4,Ans_5,Ans_6,Ans_7,Ans_8,Ans_9,Ans_10,Ans_11,Ans_12,Ans_13,Ans_14,Ans_15,Ans_16,Ans_17,Ans_18,Ans_19,Ans_20,Ans_21,Ans_22,Ans_23,Ans_24,Ans_25,Ans_26,Ans_27,Ans_28,Ans_29,Ans_30
10691,4.0,3.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,3.0,4.0,0.0,3.0,4.0,4.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0
10696,2.0,4.0,4.0,1.0,0.0,3.0,3.0,3.0,4.0,4.0,4.0,0.0,3.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0
10698,5.0,1.0,4.0,3.0,0.0,1.0,3.0,1.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
10703,1.0,1.0,4.0,3.0,0.0,1.0,4.0,1.0,4.0,3.0,3.0,1.0,1.0,3.0,4.0,1.0,4.0,0.0,2.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0
10705,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,4.0,1.0,3.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,1.0,1.0,1.0
10708,3.0,1.0,4.0,2.0,0.0,3.0,3.0,2.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,1.0,4.0,0.0,4.0,0.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0
10709,4.0,4.0,4.0,2.0,0.0,0.0,2.0,2.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,1.0,4.0,1.0,3.0,0.0,0.0,4.0,4.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0
10711,5.0,1.0,4.0,1.0,0.0,1.0,3.0,1.0,3.0,4.0,4.0,0.0,3.0,4.0,3.0,1.0,4.0,1.0,4.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,1.0,1.0,3.0,1.0
10712,2.0,1.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,4.0,1.0,4.0,3.0,4.0,1.0,3.0,0.0,3.0,0.0,0.0,1.0,3.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0
10716,2.0,1.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,4.0,3.0,5.0,3.0,0.0,3.0,2.0,1.0,3.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0
10722,3.0,2.0,4.0,2.0,0.0,3.0,4.0,3.0,1.0,1.0,2.0,0.0,0.0,4.0,3.0,2.0,3.0,0.0,3.0,2.0,1.0,2.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0
10723,4.0,4.0,4.0,0.0,0.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,2.0,3.0,0.0
10729,3.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0,4.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,2.0
10732,3.0,2.0,4.0,1.0,0.0,4.0,2.0,4.0,2.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,4.0,0.0,4.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,2.0,2.0
10737,3.0,1.0,3.0,1.0,1.0,4.0,3.0,1.0,4.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0
10739,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,1.0,0.0,1.0,4.0,3.0,2.0
10742,2.0,1.0,3.0,2.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,4.0,1.0,4.0,1.0,1.0,3.0,3.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0
10746,1.0,3.0,0.0,1.0,0.0,3.0,2.0,4.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
10747,2.0,0.0,4.0,3.0,0.0,2.0,3.0,2.0,4.0,4.0,4.0,0.0,3.0,4.0,4.0,0.0,4.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
